Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Total Communication,Units of Communication (eg messages vs bits),Total Comm Refrence,Communication Rounds,Rounds Refrence,Computation Time Complexity,Time Refrence,Parameter definitions,Preferred Parameter,Computational Model,Asynchronous or Scyncronous?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Lower Bound Runtime,Lower Bound Reference,Heuristic-based?,Quantum?,GPU-based?,Other References,"Algorithm family
parameters",Description of Inputs,Upper Bound Runtime,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Domains
,APSP,1,Weighted O(log^2(n)) approximation,,Find all-pair-shortest-paths in the network,,,,,,,,,2021,https://dl.acm.org/doi/pdf/10.1145/3465084.3467928,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,Yes,LV,Yes,O(log^2(n)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSSP,1,1+epsilon approximation from O(sqrt(n)) sources,,Find the shortest paths from multiple sources,,,,,,,,,2019,https://dl.acm.org/doi/pdf/10.1145/3293611.3331633,,,,,,,,,,,O(log^2(n)/epsilon),,,,,,CONGESTED CLIQUE,,No,,Yes,1+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSSP,1,1+epsilon approximation from O(sqrt(n)) sources,,Find the shortest paths from multiple sources,,,,,,,,,2020,https://arxiv.org/abs/2003.03058,,,,,,,,,,,O tilde(loglogn^4),,,,,,CONGESTED CLIQUE,,No,,Yes,1+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSSP,1,1+epsilon approximation from O(sqrt(n)) sources,,Find the shortest paths from multiple sources,,,,,,,,,2020,https://arxiv.org/abs/2003.03058,,,,,,,,,,,O tilde(loglogn^2),,,,,,CONGESTED CLIQUE,,Yes,LV,Yes,1+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,2-1/g approximation,,Find the shortest cycle in the graph,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/2332432.2332504  (2012)],,2012,https://dl.acm.org/doi/pdf/10.1145/2332432.2332504,,,,,,,,,,,O(n^2/3+D*log(D/g)),,,,g - girth,,CONGEST,,No,,Yes,2-1/g,omega tilde(sqrt(n)+D) for 2-epsilon approximation,https://dl.acm.org/doi/pdf/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,2-1/g approximation,,Find the shortest cycle in the graph,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-642-31585-5_58  (2012)],,2012,https://link.springer.com/chapter/10.1007/978-3-642-31585-5_58,,,,,,,,,,,O(D+sqrt(gn)log(n)),,,,g - girth,,CONGEST,,No,,Yes,2-1/g,omega tilde(sqrt(n)+D) for 2-epsilon approximation,https://dl.acm.org/doi/pdf/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,,,Find the shortest cycle in the graph,,,,,,,[https://arxiv.org/pdf/2101.07590.pdf  (2021)],,2021,https://arxiv.org/pdf/2101.07590.pdf,,,,,,,,,,,"O(min(n,g*n^(1-1/theta(g))))",,,,g - girth,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,,,Find the shortest cycle in the graph,,,,,,,[https://arxiv.org/pdf/1503.04963.pdf  (2015)],,2015,https://arxiv.org/pdf/1503.04963.pdf,,,,,,,,,,,O(n^(1-2/w)),,,,w - exponent of matrix multiplication,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,additive +1 approximation,,Find the shortest cycle in the graph,,,,,,,[https://arxiv.org/pdf/2101.07590.pdf  (2021)],,2021,https://arxiv.org/pdf/2101.07590.pdf,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,No,,Yes,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,Weighted,,Find the cycle with minimum weight,,,,,,,,,2021,https://link.springer.com/article/10.1007/s11432-020-2931-x,,,,,,,,,,,O(D+nlog^2(n)),,,,,,CONGEST,,Yes,LV,No,,omega(D+n/log(n)),https://link.springer.com/article/10.1007/s11432-020-2931-x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girth,,Weighted,,Find the cycle with minimum weight,,,,,,,,,2022,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,O tilde(n),,,,,,CONGEST,,Yes,LV,No,,omega(n/log(n)) for weighted but only omega(sqrt(n)/log(n)) for unweighted,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,,,Find the diameter of the graph,,,,,,,,,2012,https://link.springer.com/chapter/10.1007/978-3-642-31585-5_58,,,,,,,,,,,O(n),,,,,,CONGEST,,No,,No,,omega tilde(n),https://dl.acm.org/doi/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,,,Find the diameter of the graph,,,,,,,,,2013,https://dl.acm.org/doi/abs/10.1145/2484239.2484262,,,,,,,,,,,n+O(D),,,,,,CONGEST,,No,,No,,omega tilde(n),https://dl.acm.org/doi/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,3/2 approximation,,Find the diameter of the graph,,,,,,,,,2012,https://dl.acm.org/doi/abs/10.1145/2332432.2332504,,,,,,,,,,,O(n^3/4+D),,,,,,CONGEST,,No,,Yes,3/2,omega tilde(sqrt(n)+D) for 3/2-epsilon approximation,https://dl.acm.org/doi/pdf/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,"3/2 approximation, unweighted",,Find the diameter of the graph,,,,,,,,,2013,https://dl.acm.org/doi/abs/10.1145/2332432.2332504,,,,,,,,,,,O(sqrt(n)log(n)+D),,,,,,CONGEST,,Yes,LV,Yes,3/2,omega tilde(sqrt(n)+D) for 3/2-epsilon approximation,https://dl.acm.org/doi/pdf/10.5555/2095116.2095207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,"2+1/polylog(n) approximation, weighted",,Find the diameter of the graph,,,,,,,,,2020,https://arxiv.org/pdf/2011.05066.pdf,,,,,,,,,,,O tilde(sqrt(n)+D),,,,,,CONGEST,,No,,Yes,2+1/polylog(n),omega tilde(sqrt(n)+D) for any super-constant approximation,https://link.springer.com/article/10.1007/s00446-018-0326-6,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,"2 approximation, weighted",,Find the diameter of the graph,,,,,,,,,2020,https://arxiv.org/pdf/2011.05066.pdf,,,,,,,,,,,O(n^(1/2)D^(1/4)+D),,,,,,CONGEST,,No,,Yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Replacement Paths,,Directed weighted,,"For each edge, find a shortest path that avoids this edge",,,,,,,,,2022,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,O(APSP),,,,APSP: complexity of all-pairs-shortest-paths,,CONGEST,,Yes,LV,No,,omega(APSP),https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Replacement Paths,,Directed unweighted,,"For each edge, find a shortest path that avoids this edge",,,,,,,,,2022,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,"O tilde(min(n^2/3+sqrt(n*hst)+D,SSSP*hst)",,,,hst: number of edges in the shortest path from s to t,,CONGEST,,Yes,LV,No,,omega(n/log(n)),https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Replacement Paths,,Undirected weighted,,"For each edge, find a shortest path that avoids this edge",,,,,,,,,2022,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,O(SSSP+hst),,,,hst: number of edges in the shortest path from s to t,,CONGEST,,Yes,LV,No,,omega(SSSP),https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Replacement Paths,,Undirected unweighted,,"For each edge, find a shortest path that avoids this edge",,,,,,,,,2022,https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,O(D),,,,,,CONGEST,,No,,No,,omega(D),https://arxiv.org/pdf/2205.14797.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum Weight Matching,1,2+epsilon approximation in BIPARTITE graphs,,Find a matching with maximum possible weight,,,,,,,[https://arxiv.org/pdf/0812.4893.pdf  (2008)],,2008,https://arxiv.org/pdf/0812.4893.pdf,,,,,,,,,,,O(delta/epsilon),,,,,,LOCAL,,No,,Yes,2+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betweenness Centrality,1,,,Every vertex computes its betweenness centrality,,,,,,,,,2016,https://ieeexplore.ieee.org/document/7536526,,,,,,,,,,,O(n),,,,,,CONGEST,,No,,No,,omega(n/log(n)+D),https://ieeexplore.ieee.org/document/7536526,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betweenness Centrality,1,,,Every vertex computes its betweenness centrality,,,,,,,,,2018,https://arxiv.org/abs/1805.08124,,,,,,,,2mn+2m,messages,,2n+O(D),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betweenness Centrality,1,,,Every vertex computes its betweenness centrality,,,,,,,,,2019,https://dl.acm.org/doi/abs/10.1145/3293883.3295729,,,,,,,,mn,messages,,2n,,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,LCR (basic),,"Multiple processes passing identifiers around a ring. If identifier equal to its own identifier, keep identifier and become leader",,,,,,"E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283.","[E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283. LCR (basic) (1979)]",LCR (basic),1979,"E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283.",,,,,,,,O(n^2),messages,,,,O(n),,M: message alphabet ,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,LCR (halting),,"Multiple processes passing identifiers around a ring. If identifier equal to its own identifier, keep identifier and become leader",,,,,,"E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283.","[E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283. LCR (halting) (1979)]",LCR (halting),1979,"E. Chang, R. Roberts, An improved algorithm for decentralized extrema-finding in circular configurations of processes, Comm. ACM 22 (5) (1979) 281–283.",,,,,,,,O(n^2),messages,,,,O(2n),,M: message alphabet n: ring size ,,,Sync,,,,,Ω(n),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,HS Algorithm,,' '',,,,,,"Hirschberg, D. S.; Sinclair, J. B. (November 1980), ""Decentralized extrema-finding in circular configurations of processors"", Communications of the ACM, 23 (11): 627–628,","[Hirschberg, D. S.; Sinclair, J. B. (November 1980), ""Decentralized extrema-finding in circular configurations of processors"", Communications of the ACM, 23 (11): 627–628, HS Algorithm (1980)]",HS Algorithm,1980,"Hirschberg, D. S.; Sinclair, J. B. (November 1980), ""Decentralized extrema-finding in circular configurations of processors"", Communications of the ACM, 23 (11): 627–628,",,,,,,,,O(nlogn),messages,,O(nlogn),,2 * 2^(logn),,,,,Sync,,,,,Ω(n),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,TimeSlice Algorithm,,' '',,,,,,,[  ()],,,,,,,,,,,n,messages,,,,O (n),,,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,VariableSpeeds Algorithm,,' '',,,,,,,"[FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503. VariableSpeeds Algorithm (1984)]",VariableSpeeds Algorithm,1984,"FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503.",,,,,,,,<2n,messages,,,,O(n*2 ^u~min),,,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,1,VariableSpeeds Algorithm (modified),,' '',,,,,,,"[FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503. VariableSpeeds Algorithm (modified) (1984)]",VariableSpeeds Algorithm (modified),1984,"FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503.",,,,,,,,<2n,messgaes,,n,,O(n + n*2 ^u~min),,,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,0.001,Comparison Based,,""" """,,,,,,,"[FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503. VariableSpeeds Algorithm (modified) (1984)]",VariableSpeeds Algorithm (modified),1984,"FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503.",,,,,,,,,messages,,,,,,,,,Sync,,,,,(n log n),,,,,,,,,,,,,,,,,,,,,,,,,,"algorithm is comparison based if the only ways that the processes manipulate the UIDs are by copying them, by sending and receiving them in messages, and by comparing them for {<, >, =}.",
,Leader Election,0.001,Non-comparison based,,""" """,,,,,,,"[FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503. VariableSpeeds Algorithm (modified) (1984)]",VariableSpeeds Algorithm (modified),1984,"FREDERICKSON, G. N., AND LYNCH, N. The impact of synchronous communication on the problem of electing a leader in a ring. In Proceedings of the 16th Annual ACM Symposium on Theory c$Computing (Washington, D.C., Apr. 30-May 2). ACM, New York, 1984, pp. 493-503.",,,,,,,,,messages,,,,,,,,,Sync,,,,,(n log n),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,0.001,OptFloodmax,,,,,,,,,[  ()],,,,,,,,,,,,messages,,,,,,,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,0.001,Paxos,,algorithm that is used to achieve consensus among a distributed set of computers that communicate via an asynchronous network,,,,,,https://lamport.azurewebsites.net/pubs/lamport-paxos.pdf,,Paxos,1998,https://lamport.azurewebsites.net/pubs/lamport-paxos.pdf,,,,,,,,,messages,,,,,,,,,async,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,0.001,Raft,,"algorithm for managing a replicated log. It produces a result equivalent to (multi-)Paxos, and it is as efficient as Paxos, but its structure is different from Paxos",,,,,,https://raft.github.io/raft.pdf,,Raft,2013,https://raft.github.io/raft.pdf,,,,,,,,,messages,,,,,,,,,async,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leader Election,0.001,Bully Algorithm,,a method for dynamically electing a coordinator or leader from a group of distributed computer processes,,,,,,,,Bully Algorithm,1982,https://ieeexplore.ieee.org/abstract/document/818613,,,,,,,,,messages,,O(n),,O(n^2),,,,,sync,,,,,Ω(n),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BFS,1,SynchBFS,,,,,,,,,[  ()],,,,,,,,,,,|E|,messages,,,,O(diameter),,,,,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"can easily be augmented to implement message broadcast. If a process has a message m that it wants to communicate to all of the processes in the network, it can simply initiate an execution of SynchBFS with itself as the root, piggybacking message m on the search message it sends in round 1",
,BFS,1,basic coordinated multiple-source algorilhl'n,,"solves kIl 0 W n -c 0 nnecti vity BFS, is to constructaBFS
forest on a strip with starting knowledge of a spanning forest of the strip, each tree spanning another
connected component of the strip.",,,,,,,[http://groups.csail.mit.edu/tds/papers/Awerbuch/FOCS85.pdf basic coordinated multiple-source algorilhl'n (1985)],basic coordinated multiple-source algorilhl'n,1985,http://groups.csail.mit.edu/tds/papers/Awerbuch/FOCS85.pdf,,,,,,,,O(E+V1.S)·logV),,,,,O(V1.5·logV),,,,,Async,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BFS,1,bootstrap algorithm,,"solves unknown -connectivity BFS, is
to construc t a BFS forest on a strip withou t such
knowledge.",,,,,,,[http://groups.csail.mit.edu/tds/papers/Awerbuch/FOCS85.pdf bootstrap algorithm (1985)],bootstrap algorithm,1985,http://groups.csail.mit.edu/tds/papers/Awerbuch/FOCS85.pdf,,,,,,,,O(E·2^(sqrt(logVloglogV))),,,,,O(V*2^(sqrt(logVloglogV))),,,,,Async,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BFS,0.001,old method,,,,,,,,,[  ()],,,,,,,,,,,O(V*log_k(V)),,,,,O(kV^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mutual Exclusion,0.001,Lamport’s Distributed Mutual Exclusion Algorithm,,critical section requests are executed in the increasing order of timestamps,,,,,,http://lamport.azurewebsites.net/pubs/bakery.pdf?from=https://research.microsoft.com/users/lamport/pubs/bakery.pdf&type=path,[http://lamport.azurewebsites.net/pubs/bakery.pdf?from=https://research.microsoft.com/users/lamport/pubs/bakery.pdf&type=path Lamport's bakery algorithm (1974)],Lamport's bakery algorithm,1974,http://lamport.azurewebsites.net/pubs/bakery.pdf?from=https://research.microsoft.com/users/lamport/pubs/bakery.pdf&type=path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
